AttackPattern,Count,Probability
normal,67343,0.5345828074269883
neptune,41214,0.32716534495487126
satan,3633,0.028839513229025268
ipsweep,3599,0.028569614123661418
portsweep,2931,0.02326689052415994
smurf,2646,0.02100450096449239
nmap,1493,0.011851746009065434
back,956,0.0075889277861128975
teardrop,892,0.00708088241131036
warezclient,890,0.007065005993347781
pod,201,0.001595580005239218
guess_passwd,53,0.000420725076008351
buffer_overflow,30,0.00023814626943868925
warezmaster,20,0.00015876417962579282
land,18,0.00014288776166321355
imap,11,8.732029879418606e-05
rootkit,10,7.938208981289641e-05
loadmodule,9,7.144388083160678e-05
ftp_write,8,6.350567185031713e-05
multihop,7,5.556746286902749e-05
phf,4,3.1752835925158565e-05
perl,3,2.3814626943868923e-05
spy,2,1.5876417962579282e-05
